tinyId	domain	domain_full	sub_domain	verbosity	expected_cluster	name	instrument	temporal_phrase	injection_site
synMHL001	mental_health	Mental Health Screening	Depression	terse	mhl	Depression symptom score	PHI Emotional Distress	In the past 7 days	name+question+definition
synMHL002	mental_health	Mental Health Screening	Anxiety	terse	mhl	Anxiety symptom score	PHI Emotional Distress	Over the past 2 weeks	name+question+definition
synMHL003	mental_health	Mental Health Screening	Stress	terse	mhl	Perceived stress level	PHI Emotional Distress	During the past 4 weeks	name+question+definition
synMHL004	mental_health	Mental Health Screening	Emotional	terse	mhl	Emotional regulation score	PHI Emotional Distress	In the past 7 days	name+question+definition
synMHL005	mental_health	Mental Health Screening	Risk Screening	terse	mhl	Suicidal ideation screen result	PHI Emotional Distress	Over the past 2 weeks	name+question+definition
synMHL006	mental_health	Mental Health Screening	Severity	terse	xdha:severity	Overall psychiatric symptom severity	PHI Emotional Distress	During the past 4 weeks	name+question+definition
synMHL007	mental_health	Mental Health Screening	Social Function	terse	mhl	Social functioning score	COAS Psychological Well-Being	In the past 7 days	name+question+definition
synMHL008	mental_health	Mental Health Screening	Occupational	terse	mhl	Occupational functioning rating	COAS Psychological Well-Being	Over the past 2 weeks	name+question+definition
synMHL009	mental_health	Mental Health Screening	Resilience	terse	mhl	Psychological resilience score	COAS Psychological Well-Being	During the past 4 weeks	name+question+definition
synMHL010	mental_health	Mental Health Screening	Self-Efficacy	terse	mhl	Self-efficacy assessment	COAS Psychological Well-Being	In the past 7 days	name+question+definition
synMHL011	mental_health	Mental Health Screening	Function	terse	xdha:function	Mental health functional impairment	COAS Psychological Well-Being	Over the past 2 weeks	name+question+definition
synMHL012	mental_health	Mental Health Screening	Trauma	terse	mhl	Trauma exposure history	COAS Psychological Well-Being	During the past 4 weeks	name+question+definition
synMHL013	mental_health	Mental Health Screening	Medication	terse	xdha:medication	Psychotropic medication usage	PHI Emotional Distress		definition_only
synMHL014	mental_health	Mental Health Screening	Distress	terse	mhl	Psychological distress thermometer	PHI Emotional Distress		definition_only
synMHL015	mental_health	Mental Health Screening	Substance Use	terse	mhl	Substance use screening result	PHI Emotional Distress		definition_only
synMHL016	mental_health	Mental Health Screening	Demographics	terse	xdha:demographics	Age at mental health assessment		In the past 7 days	temporal_only
synMHL017	mental_health	Mental Health Screening	Comorbidity	terse	xdha:comorbidity	Psychiatric comorbidity count		Over the past 2 weeks	temporal_only
synMHL018	mental_health	Mental Health Screening	Quality of Life	terse	xdha:qol	Mental health quality of life rating			clean
synMHL019	mental_health	Mental Health Screening	Treatment	terse	xdha:treatment	Psychiatric treatment response			clean
synMHL020	mental_health	Mental Health Screening	Panic Disorder	terse	mhl	Panic attack frequency			clean
