dataset	tinyId	field	removed_text
set1a_urban	synUHI001	name	ESI Heat Exposure -
set1a_urban	synUHI001	question	Over the past 30 days, observed deviation from baseline surface temperature
set1a_urban	synUHI001	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synUHI002	name	ESI Heat Exposure -
set1a_urban	synUHI002	question	During the last 12 months, severity score for prolonged heat events
set1a_urban	synUHI002	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synUHI003	name	ESI Heat Exposure -
set1a_urban	synUHI003	question	In the past 7 days, proportion of land covered by sealed surfaces
set1a_urban	synUHI003	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synUHI004	name	ESI Heat Exposure -
set1a_urban	synUHI004	question	Over the past 30 days, solar reflectivity of building exterior materials
set1a_urban	synUHI004	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synUHI005	name	ESI Heat Exposure -
set1a_urban	synUHI005	question	During the last 12 months, rate of heat released by human activities
set1a_urban	synUHI005	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synUHI006	name	ESI Heat Exposure -
set1a_urban	synUHI006	question	In the past 7 days, composite health burden from elevated urban temperatures
set1a_urban	synUHI006	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synUHI007	name	CRAT Infrastructure Vulnerability -
set1a_urban	synUHI007	question	Over the past 30 days, risk level of thermal damage to built structures
set1a_urban	synUHI007	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synUHI008	name	CRAT Infrastructure Vulnerability -
set1a_urban	synUHI008	question	During the last 12 months, temperature of road and sidewalk surfaces
set1a_urban	synUHI008	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synUHI009	name	CRAT Infrastructure Vulnerability -
set1a_urban	synUHI009	question	In the past 7 days, extent of rooftop vegetation installations
set1a_urban	synUHI009	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synUHI010	name	CRAT Infrastructure Vulnerability -
set1a_urban	synUHI010	question	Over the past 30 days, proportion of overhead tree cover in the urban area
set1a_urban	synUHI010	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synUHI011	name	CRAT Infrastructure Vulnerability -
set1a_urban	synUHI011	question	During the last 12 months, ground-level temperature recorded at the station
set1a_urban	synUHI011	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synUHI012	name	CRAT Infrastructure Vulnerability -
set1a_urban	synUHI012	question	In the past 7 days, perceived heat stress for outdoor pedestrians
set1a_urban	synUHI012	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synUHI013	definition	A field of the Environmental Stress Index (ESI).
set1a_urban	synUHI014	definition	A field of the Environmental Stress Index (ESI).
